respID,qID,altID,obsID,monthlyRent,location,distanceToMetro,squareFootage,fitnessCenter,twentyFourSevenConcierge,parking,communitySpace,utilitiesIncludedInRent,image
1,1,1,1,2500,5,5,750,no,yes,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,1,2,1,1500,5,5,750,yes,no,yes,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,1,3,1,2500,5,10,500,no,no,no,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
1,2,1,2,1500,3,15,500,yes,yes,no,no,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
1,2,2,2,2500,1,10,600,no,yes,yes,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,2,3,2,2000,3,10,600,no,no,yes,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,3,1,3,2500,1,20,600,no,yes,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,3,2,3,1500,3,10,750,yes,no,no,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,3,3,3,1500,1,20,750,no,no,no,no,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,4,1,4,2000,3,5,750,no,yes,no,yes,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,4,2,4,2000,3,10,600,yes,no,yes,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,4,3,4,1500,5,15,600,yes,no,no,no,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,5,1,5,2500,3,5,750,no,yes,yes,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,5,2,5,1500,5,15,500,no,no,no,yes,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
1,5,3,5,1500,1,10,750,no,no,no,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,6,1,6,2500,5,20,500,yes,yes,no,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
1,6,2,6,1500,3,5,750,no,no,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,6,3,6,2500,3,10,750,no,yes,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
1,7,1,7,2000,3,20,500,no,yes,yes,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
1,7,2,7,2000,5,5,600,yes,no,yes,no,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,7,3,7,2000,1,20,500,no,no,yes,no,yes,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
1,8,1,8,1500,1,15,600,no,no,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,8,2,8,2000,3,15,600,yes,yes,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
1,8,3,8,1500,3,20,600,yes,no,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/600sqft.png
2,1,1,9,1500,3,15,500,yes,no,yes,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
2,1,2,9,2500,1,15,500,yes,no,yes,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/500sqft.png
2,1,3,9,2000,1,20,750,no,yes,no,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
2,2,1,10,2500,3,5,750,no,no,yes,yes,no,https://raw.githubusercontent.com/MaxRybak1/formr/main/700sqft.png
